nom;millesime;region;couleur;domaine
Le Brun de Neuville Blanc de Blanc cuvée collection;;Champagne;Champagne;Sélection
Le Brun de Neuville cuvée rosé;;Champagne;Champagne;Sélection
Mercier Brut;;Champagne;Champagne;Sélection
Mercier Brut Magnum;;Champagne;Champagne;Sélection
Dom Perignon;;Champagne;Champagne;Sélection
Dom Perignon Magnum;;Champagne;Champagne;Sélection
Dom Perignon Rosé;;Champagne;Champagne;Sélection
Dom Perignon Rosé;;Champagne;Champagne;Sélection
Krug Grande Cuvée;;Champagne;Champagne;Sélection
Moët & Chandon brut;;Champagne;Champagne;Sélection
Moët & Chandon brut Millésimé;;Champagne;Champagne;Sélection
Moët & Chandon Millésimé;;Champagne;Champagne;Sélection
Moët & Chandon Magnum;;Champagne;Champagne;Sélection
Moët & Chandon Jeroboam;;Champagne;Champagne;Sélection
Moët & Chandon Mathusalem;;Champagne;Champagne;Sélection
Moët & Chandon Salmanazar;;Champagne;Champagne;Sélection
Moët & Chandon Balthazar;;Champagne;Champagne;Sélection
Moët & Chandon  Nabuchodonosor;;Champagne;Champagne;Sélection
Moët & Chandon Rosé;;Champagne;Champagne;Sélection
Moët & Chandon Millésimé Rosé;;Champagne;Champagne;Sélection
Moët & Chandon Millésimé Rosé;;Champagne;Champagne;Sélection
Moët & Chandon Rosé;;Champagne;Champagne;Sélection
Moët & Chandon Rosé;;Champagne;Champagne;Sélection
Veuve Cliquot Brut;;Champagne;Champagne;Sélection
Veuve Cliquot rosé;;Champagne;Champagne;Sélection
Veuve Cliquot Brut Magnum;;Champagne;Champagne;Sélection
Veuve Cliquot Brut Jeroboam;;Champagne;Champagne;Sélection
Veuve Cliquot Brut ;;Champagne;Champagne;Sélection
Veuve Cliquot Grande Dame Brut;;Champagne;Champagne;Sélection
Ruinart Blanc de Blanc;;Champagne;Champagne;Sélection
Ruinart Blanc de Blanc;;Champagne;Champagne;Sélection
Ruinart Blanc de Blanc;;Champagne;Champagne;Sélection
Ruinart Brut;;Champagne;Champagne;Sélection
Ruinart Brut;;Champagne;Champagne;Sélection
Ruinart Brut;;Champagne;Champagne;Sélection
Ruinart Rosé;;Champagne;Champagne;Sélection
Ruinart Rosé;;Champagne;Champagne;Sélection
Dom Ruinart  blanc de blancs;;Champagne;Champagne;Sélection
Piper Heidsieck brut;;Champagne;Champagne;Sélection
Piper Heidsieck brut;;Champagne;Champagne;Sélection
Piper Heidsieck brut;;Champagne;Champagne;Sélection
Piper Heidsieck brut;;Champagne;Champagne;Sélection
Piper Heidsieck brut;;Champagne;Champagne;Sélection
Piper Heidsieck rosé;;Champagne;Champagne;Sélection
Piper Heidsieck millésimé;;Champagne;Champagne;Sélection
Piper Heidsieck rare;;Champagne;Champagne;Sélection
Taittinger Brut Réserve;;Champagne;Champagne;Sélection
Taittinger Brut Réserve;;Champagne;Champagne;Sélection
Taittinger Brut Réserve;;Champagne;Champagne;Sélection
Taittinger Brut Réserve;;Champagne;Champagne;Sélection
Taittinger Brut Réserve;;Champagne;Champagne;Sélection
Taittinger Rosé;;Champagne;Champagne;Sélection
Taittinger Rosé;;Champagne;Champagne;Sélection
Taittinger Rosé;;Champagne;Champagne;Sélection
Taittinger Nocturne rosé;;Champagne;Champagne;Sélection
Taittinger Nocturne;;Champagne;Champagne;Sélection
Taittinger Nocturne;;Champagne;Champagne;Sélection
Comtes de Champagne;;Champagne;Champagne;Sélection
Comtes de Champagne;;Champagne;Champagne;Sélection
Comtes de Champagne rosé;;Champagne;Champagne;Sélection
Comtes de Champagne rosé;;Champagne;Champagne;Sélection
Besserat de bellefon Blanc de Blanc Cuvée des Moines;;Champagne;Champagne;Sélection
Besserat de bellefon Blanc de Blanc Cuvée des Moines  Millésimé;;Champagne;Champagne;Sélection
Besserat de bellefon  Blanc de Blanc Cuvée des Moines  Magnum;;Champagne;Champagne;Sélection
"Nicolas Feuillatte Brut ""Réserve Particulière"" Blanc";;Champagne;Champagne;Sélection
"Nicolas Feuillatte Brut ""Réserve Particulière"" Rosé";;Champagne;Champagne;Sélection
